N,P,K,soil_type,soil_moisture,temperature,humidity,ph,rainfall,season,water_availability,water_ph,location,label
132,78,100,alluvial,high,24.8,75.5,6.8,259.9,kharif,high,6.3,Western Maharashtra,turmeric
91,87,120,red,medium,25.4,73.8,5.3,75.3,rabi,medium,7.2,Western Maharashtra,potato
120,60,63,red,medium,25.8,61.4,7.1,113.7,rabi,medium,7.0,Vidarbha,maize
134,45,106,black,low,24.8,41.9,6.4,20.3,zaid,low,7.2,Western Maharashtra,pomegranate
102,69,117,red,medium,21.1,45.3,6.0,103.2,rabi,medium,6.3,Vidarbha,orange
55,30,36,red,low,31.4,30.9,7.3,62.2,kharif,low,6.5,Marathwada,bajra
39,81,43,red,medium,19.5,64.8,6.8,81.9,kharif,medium,6.6,Western Maharashtra,groundnut
38,61,43,alluvial,medium,22.5,77.7,6.7,30.0,kharif,medium,7.1,Western Maharashtra,soybean
97,50,23,red,low,28.5,52.4,6.5,67.6,kharif,low,7.3,Vidarbha,cotton
122,78,130,alluvial,medium,24.3,68.4,5.4,49.8,rabi,medium,6.9,Vidarbha,potato
75,29,31,red,medium,22.8,45.1,7.4,47.3,rabi,low,6.4,Western Maharashtra,jowar
160,117,160,alluvial,medium,28.6,84.5,6.8,194.4,kharif,high,7.3,Western Maharashtra,sugarcane
111,58,116,black,medium,24.8,55.5,7.4,35.9,rabi,medium,8.1,Marathwada,grapes
121,85,118,alluvial,medium,18.1,60.8,6.1,95.9,rabi,medium,7.7,Western Maharashtra,potato
97,44,84,red,medium,36.8,54.8,5.9,48.1,zaid,medium,7.6,Western Maharashtra,watermelon
68,48,21,black,medium,30.7,50.1,5.8,51.2,kharif,medium,7.9,Vidarbha,jowar
121,57,99,alluvial,high,32.2,75.0,6.5,64.4,zaid,medium,6.8,Western Maharashtra,watermelon
142,70,50,red,medium,34.5,64.2,6.6,197.1,zaid,low,7.7,Western Maharashtra,mango
134,63,118,black,medium,23.6,47.9,6.7,106.7,rabi,medium,5.8,Vidarbha,orange
84,53,70,alluvial,low,20.6,53.7,6.8,116.8,rabi,medium,6.4,Khandesh,onion
81,43,45,laterite,low,29.2,79.8,4.6,260.3,zaid,medium,5.8,Konkan,cashew
107,39,43,black,medium,10.2,56.2,7.5,44.2,rabi,medium,6.9,Vidarbha,wheat
141,63,92,black,medium,29.4,73.2,6.1,109.9,kharif,high,5.9,Western Maharashtra,turmeric
88,51,98,alluvial,medium,27.6,52.3,6.8,115.1,rabi,medium,6.9,Khandesh,onion
155,75,123,black,medium,25.6,53.5,6.4,126.1,rabi,medium,6.9,Vidarbha,orange
36,69,54,red,medium,27.3,56.2,5.9,77.9,kharif,medium,6.7,Khandesh,groundnut
66,37,55,red,medium,28.0,66.9,6.2,263.3,zaid,low,5.6,Konkan,cashew
94,67,189,laterite,medium,35.6,49.5,6.9,92.9,rabi,medium,7.0,Western Maharashtra,grapes
125,55,41,alluvial,medium,19.9,43.4,6.1,48.3,rabi,medium,6.5,Vidarbha,wheat
44,68,32,alluvial,medium,23.7,58.6,6.1,38.4,kharif,medium,7.5,Marathwada,soybean
120,58,151,red,medium,18.6,49.1,6.5,74.0,rabi,medium,6.7,Vidarbha,potato
160,104,138,black,high,28.8,79.0,7.7,227.7,rabi,high,7.0,Marathwada,sugarcane
100,70,65,black,medium,28.4,35.0,7.2,109.0,rabi,medium,7.0,Marathwada,maize
112,73,127,alluvial,medium,15.9,56.0,5.4,56.0,rabi,medium,6.6,Western Maharashtra,potato
104,63,52,laterite,low,27.8,85.7,6.4,188.2,zaid,low,6.3,Konkan,cashew
129,74,129,alluvial,high,25.5,72.5,5.7,191.3,kharif,high,6.1,Western Maharashtra,turmeric
163,87,122,red,medium,27.6,64.8,7.0,58.4,kharif,medium,7.0,Khandesh,onion
115,56,19,black,low,18.9,56.3,6.0,76.1,kharif,medium,6.9,Khandesh,cotton
131,59,95,red,low,36.3,50.4,6.9,49.0,rabi,low,7.6,Western Maharashtra,pomegranate
110,57,63,alluvial,high,29.4,85.7,6.2,349.4,kharif,high,7.0,Konkan,rice
152,60,113,black,medium,24.2,61.7,7.1,72.5,kharif,medium,7.4,Western Maharashtra,tomato
100,34,41,laterite,low,31.3,91.3,6.5,325.8,zaid,low,6.0,Konkan,cashew
52,57,56,alluvial,medium,25.7,60.6,6.2,65.5,kharif,medium,6.9,Western Maharashtra,groundnut
110,77,44,black,medium,25.0,58.7,7.2,19.8,rabi,medium,7.5,Western Maharashtra,wheat
107,56,150,red,medium,19.0,66.8,5.8,72.2,rabi,medium,6.3,Vidarbha,potato
165,75,93,alluvial,medium,26.5,77.9,7.9,182.6,kharif,high,6.4,Marathwada,sugarcane
133,77,93,black,medium,17.7,46.0,7.4,125.0,rabi,medium,6.7,Vidarbha,maize
40,88,48,alluvial,medium,31.8,52.3,6.7,89.9,kharif,medium,6.1,Khandesh,groundnut
102,38,101,red,medium,22.8,48.6,7.2,61.7,zaid,medium,7.1,Western Maharashtra,watermelon
166,98,136,black,high,27.1,75.2,5.8,286.7,kharif,high,6.8,Marathwada,sugarcane
120,87,136,red,medium,21.7,51.9,6.1,69.6,rabi,medium,6.3,Vidarbha,potato
88,30,18,black,medium,27.6,36.9,7.0,70.1,rabi,low,7.5,Marathwada,jowar
154,72,116,red,medium,26.6,34.3,7.7,76.1,rabi,medium,6.6,Marathwada,grapes
109,51,43,alluvial,medium,17.5,41.4,6.4,45.4,rabi,medium,7.0,Vidarbha,wheat
122,80,39,black,medium,31.7,56.5,6.4,133.2,rabi,medium,7.3,Vidarbha,maize
30,48,60,alluvial,medium,24.9,59.7,7.6,95.9,kharif,medium,6.8,Western Maharashtra,groundnut
137,79,133,black,medium,28.5,31.8,5.8,55.1,rabi,medium,6.7,Western Maharashtra,grapes
48,41,10,black,low,32.5,42.5,5.7,38.0,kharif,low,6.6,Western Maharashtra,bajra
144,54,24,red,low,27.3,68.8,6.8,94.4,kharif,medium,6.5,Marathwada,cotton
40,60,69,alluvial,medium,18.0,61.5,6.7,91.4,kharif,medium,7.0,Khandesh,groundnut
0,72,24,black,low,24.5,44.0,6.0,69.2,kharif,low,6.2,Marathwada,tur
11,64,20,red,low,27.9,42.7,5.6,47.9,kharif,low,7.1,Vidarbha,tur
104,66,71,red,medium,25.1,69.4,6.8,117.3,rabi,medium,6.0,Marathwada,maize
122,75,103,red,low,28.7,38.6,8.0,62.3,zaid,low,8.0,Western Maharashtra,pomegranate
98,44,86,laterite,low,26.7,82.6,6.2,169.7,zaid,low,6.4,Western Maharashtra,mango
115,48,117,alluvial,high,30.0,45.4,6.1,30.8,zaid,medium,7.5,Khandesh,watermelon
114,23,73,red,high,35.5,48.7,6.3,29.9,zaid,medium,7.1,Western Maharashtra,watermelon
74,40,47,black,medium,24.4,66.2,6.4,71.8,kharif,medium,7.0,Western Maharashtra,soybean
99,78,110,alluvial,medium,28.3,39.1,6.6,47.1,rabi,low,7.4,Marathwada,pomegranate
73,86,136,red,low,22.7,19.9,7.8,61.5,rabi,low,7.5,Marathwada,pomegranate
170,77,150,red,medium,21.3,62.6,5.8,67.3,rabi,medium,6.0,Vidarbha,potato
120,48,96,alluvial,medium,24.2,58.0,8.1,72.5,kharif,medium,7.8,Western Maharashtra,maize
92,50,97,red,high,22.9,43.5,6.8,59.7,zaid,medium,7.7,Khandesh,watermelon
129,77,110,red,medium,25.2,58.8,7.2,110.1,rabi,medium,6.8,Vidarbha,orange
113,70,141,red,medium,37.9,41.5,7.1,28.3,zaid,low,7.3,Marathwada,pomegranate
73,63,92,red,high,30.4,53.3,5.8,33.9,zaid,medium,7.8,Western Maharashtra,watermelon
187,118,108,alluvial,high,30.9,58.6,7.0,250.2,kharif,high,7.1,Marathwada,sugarcane
118,57,114,black,medium,25.3,44.5,6.3,94.7,rabi,medium,6.9,Vidarbha,orange
106,57,53,black,high,32.6,67.9,5.7,361.5,kharif,high,6.3,Konkan,rice
73,60,31,alluvial,medium,26.9,54.4,6.2,46.4,rabi,medium,6.9,Western Maharashtra,wheat
106,48,22,red,low,27.4,53.4,6.1,89.5,kharif,medium,7.1,Khandesh,cotton
119,77,95,red,low,27.3,44.8,7.7,53.3,rabi,low,7.6,Marathwada,pomegranate
101,77,79,red,low,24.5,62.5,7.0,63.9,kharif,medium,7.1,Khandesh,onion
136,73,148,laterite,medium,28.0,56.6,8.3,55.6,rabi,medium,7.9,Marathwada,grapes
138,73,70,alluvial,medium,19.8,73.4,7.0,230.4,kharif,medium,6.2,Marathwada,turmeric
144,56,83,red,medium,19.3,58.9,5.8,50.9,rabi,medium,6.5,Vidarbha,maize
132,58,128,black,medium,30.1,56.6,6.8,143.6,rabi,medium,6.3,Vidarbha,orange
107,31,64,laterite,low,18.0,66.1,5.7,284.5,zaid,low,5.2,Konkan,cashew
140,94,142,red,medium,20.5,69.7,6.2,72.8,rabi,medium,6.7,Vidarbha,potato
25,62,40,alluvial,medium,27.2,65.3,7.0,80.6,kharif,medium,7.9,Western Maharashtra,soybean
105,60,131,alluvial,high,24.0,50.0,6.4,73.9,zaid,medium,5.9,Western Maharashtra,watermelon
114,57,108,red,low,33.4,74.8,5.6,251.0,zaid,low,6.6,Konkan,mango
115,64,108,black,high,26.2,68.4,6.4,131.2,kharif,medium,6.5,Marathwada,turmeric
67,13,24,black,medium,27.0,43.8,6.5,42.2,rabi,medium,6.8,Marathwada,jowar
99,50,13,red,low,30.8,44.9,7.7,79.2,kharif,medium,6.9,Vidarbha,cotton
149,73,85,alluvial,high,23.1,80.7,6.1,180.3,kharif,medium,6.6,Marathwada,turmeric
149,81,192,black,medium,28.2,48.7,6.8,41.1,rabi,medium,5.8,Western Maharashtra,grapes
124,42,31,red,medium,24.7,55.6,5.9,68.8,kharif,medium,6.3,Marathwada,cotton
30,68,23,black,medium,28.8,33.8,6.5,89.3,kharif,low,6.5,Vidarbha,tur
106,53,133,red,medium,25.5,69.6,7.2,74.4,rabi,medium,7.1,Marathwada,tomato
135,73,99,alluvial,medium,26.6,46.2,6.9,40.8,rabi,medium,7.2,Marathwada,pomegranate
131,78,138,red,medium,25.8,49.2,5.8,85.3,rabi,medium,5.7,Vidarbha,potato
111,45,52,black,high,30.2,81.6,5.3,263.4,kharif,high,6.1,Konkan,rice
123,71,99,red,low,36.8,15.1,7.1,36.2,rabi,medium,7.3,Western Maharashtra,pomegranate
139,76,98,red,medium,22.5,72.3,7.1,137.9,rabi,medium,7.1,Vidarbha,orange
94,57,118,red,medium,26.4,43.7,6.1,52.8,zaid,medium,7.5,Khandesh,watermelon
62,31,29,black,low,27.6,19.8,5.1,44.0,kharif,low,7.1,Marathwada,bajra
123,64,126,black,high,29.6,62.0,6.2,144.7,kharif,high,6.9,Western Maharashtra,turmeric
141,64,126,black,medium,35.4,23.8,8.4,67.4,rabi,medium,7.4,Marathwada,pomegranate
108,61,62,black,medium,15.3,40.8,6.6,62.3,rabi,medium,7.3,Vidarbha,wheat
145,45,82,black,medium,23.9,53.9,6.9,75.8,rabi,medium,6.9,Vidarbha,orange
107,25,18,red,medium,30.4,71.3,7.0,68.1,kharif,low,7.0,Marathwada,cotton
21,49,44,black,medium,26.6,30.7,7.2,69.2,kharif,low,6.6,Marathwada,tur
59,48,47,red,medium,30.2,83.5,5.1,357.3,zaid,medium,6.0,Konkan,cashew
97,62,134,alluvial,medium,19.0,67.2,7.5,99.2,rabi,medium,6.4,Khandesh,onion
20,66,17,black,medium,28.8,42.0,5.8,38.3,kharif,low,6.8,Vidarbha,tur
154,64,96,red,medium,20.4,46.9,6.7,58.7,rabi,medium,6.7,Vidarbha,orange
162,94,133,alluvial,medium,32.8,79.8,7.2,147.1,kharif,high,6.4,Marathwada,sugarcane
101,84,125,red,medium,32.3,31.1,5.7,36.4,rabi,medium,6.9,Western Maharashtra,pomegranate
48,69,36,black,medium,25.6,68.5,6.8,54.7,kharif,medium,7.0,Western Maharashtra,soybean
27,49,25,black,low,22.6,60.0,5.8,67.9,kharif,medium,7.7,Vidarbha,tur
96,50,90,red,high,26.7,46.6,6.9,68.8,zaid,medium,7.1,Western Maharashtra,watermelon
119,71,124,black,medium,27.7,44.3,7.1,73.2,rabi,medium,7.0,Western Maharashtra,tomato
129,67,89,laterite,medium,24.5,54.5,5.5,141.3,zaid,low,6.6,Western Maharashtra,mango
48,20,35,black,low,35.4,43.8,7.3,78.7,kharif,low,6.7,Marathwada,bajra
182,75,111,alluvial,medium,33.0,75.6,7.6,152.0,rabi,high,6.6,Western Maharashtra,sugarcane
155,71,102,black,low,19.4,48.7,7.6,71.5,rabi,medium,7.6,Western Maharashtra,onion
83,52,15,red,low,27.2,47.1,8.0,100.9,kharif,low,7.1,Marathwada,cotton
36,41,35,black,medium,28.0,47.0,6.4,54.8,kharif,low,7.1,Vidarbha,tur
92,30,56,red,low,28.1,80.1,5.6,254.7,zaid,low,5.6,Konkan,cashew
201,111,132,black,medium,34.9,73.9,6.7,197.4,kharif,high,6.9,Western Maharashtra,sugarcane
71,40,53,red,low,31.5,85.5,4.9,272.2,zaid,medium,5.6,Konkan,cashew
93,27,88,laterite,medium,35.0,80.9,4.7,181.2,zaid,low,6.9,Konkan,cashew
138,52,70,red,medium,32.3,52.9,8.1,30.5,zaid,medium,7.0,Marathwada,pomegranate
129,65,75,alluvial,medium,21.3,71.5,6.7,81.4,kharif,medium,6.7,Vidarbha,maize
117,70,122,black,medium,32.8,88.9,6.9,291.6,kharif,high,7.5,Marathwada,turmeric
71,65,37,alluvial,medium,24.0,71.1,6.3,58.8,kharif,medium,6.8,Marathwada,soybean
25,76,15,red,low,25.5,36.9,6.5,43.3,kharif,medium,7.2,Vidarbha,tur
83,39,33,black,low,28.5,45.9,6.8,62.4,kharif,low,7.6,Western Maharashtra,jowar
136,71,120,alluvial,low,23.2,68.8,7.0,75.0,rabi,medium,7.3,Khandesh,onion
109,96,101,red,medium,28.2,46.5,7.8,68.3,rabi,medium,6.7,Western Maharashtra,grapes
112,52,66,red,medium,21.7,61.7,6.3,111.2,rabi,medium,7.1,Vidarbha,maize
91,48,47,alluvial,high,27.5,100.2,5.7,313.6,kharif,high,5.5,Western Maharashtra,rice
199,89,149,alluvial,high,31.3,68.4,7.5,180.9,rabi,high,7.4,Marathwada,sugarcane
101,63,52,alluvial,high,26.6,78.0,5.0,277.1,kharif,high,5.8,Vidarbha,rice
106,39,29,red,low,31.1,51.4,7.1,75.7,kharif,medium,6.6,Marathwada,cotton
100,62,54,black,high,28.4,81.9,4.4,226.4,kharif,high,5.9,Western Maharashtra,rice
88,77,27,alluvial,high,32.2,70.6,5.3,372.6,kharif,high,6.9,Vidarbha,rice
106,65,108,laterite,low,24.2,79.1,6.0,235.9,zaid,medium,6.2,Konkan,mango
86,54,74,black,medium,27.3,50.5,6.9,35.3,rabi,medium,6.6,Vidarbha,wheat
125,45,108,alluvial,medium,21.5,74.4,6.2,105.8,kharif,medium,6.1,Khandesh,onion
32,71,20,black,medium,26.9,32.3,6.0,60.5,kharif,low,6.6,Marathwada,tur
40,65,59,alluvial,medium,24.3,45.2,6.9,52.1,kharif,medium,6.7,Western Maharashtra,groundnut
132,76,128,alluvial,medium,18.9,47.5,7.1,57.0,rabi,medium,7.1,Marathwada,tomato
124,66,148,alluvial,low,24.7,65.0,7.1,61.1,zaid,low,7.8,Western Maharashtra,pomegranate
146,93,179,red,medium,29.0,55.8,8.1,22.5,rabi,medium,5.8,Marathwada,grapes
132,53,88,laterite,low,29.4,60.3,6.4,173.0,zaid,medium,6.5,Konkan,mango
126,71,75,red,medium,20.6,59.2,5.1,87.2,kharif,medium,6.9,Western Maharashtra,maize
78,42,64,laterite,low,34.4,81.1,5.5,315.9,zaid,low,5.4,Konkan,cashew
148,72,102,red,medium,23.5,48.1,5.7,45.5,rabi,medium,6.3,Vidarbha,potato
81,51,42,laterite,high,18.0,87.7,5.6,348.9,kharif,high,6.6,Vidarbha,rice
163,66,50,alluvial,medium,20.6,53.4,7.4,64.8,rabi,medium,7.5,Western Maharashtra,onion
46,22,23,black,low,26.7,53.9,5.9,85.1,kharif,low,7.2,Western Maharashtra,bajra
108,48,27,red,medium,23.1,58.0,6.9,84.2,kharif,medium,7.1,Vidarbha,cotton
75,65,103,red,high,33.7,57.9,6.5,90.0,zaid,medium,8.2,Western Maharashtra,watermelon
138,72,119,alluvial,medium,17.8,53.0,7.3,90.1,kharif,medium,6.7,Khandesh,onion
134,70,94,laterite,medium,24.3,59.8,5.3,266.2,zaid,medium,5.8,Konkan,mango
102,66,87,red,medium,23.3,69.5,6.4,271.7,zaid,low,6.5,Western Maharashtra,mango
99,48,83,red,medium,31.9,48.9,6.2,240.1,zaid,low,6.0,Konkan,mango
161,63,102,black,medium,25.0,51.2,6.9,87.0,rabi,medium,6.7,Vidarbha,orange
137,78,137,black,medium,37.0,51.1,6.6,42.1,rabi,medium,7.3,Marathwada,pomegranate
127,78,103,black,high,29.7,71.2,5.6,211.3,kharif,medium,7.4,Western Maharashtra,turmeric
161,86,86,black,high,28.9,69.9,7.3,201.4,kharif,high,7.0,Western Maharashtra,sugarcane
148,68,111,black,medium,21.0,62.9,7.1,96.6,rabi,medium,7.1,Vidarbha,orange
161,79,111,laterite,medium,27.7,48.6,7.0,65.4,rabi,medium,7.0,Western Maharashtra,grapes
29,57,25,black,medium,29.5,39.3,5.6,43.2,kharif,low,8.0,Marathwada,tur
106,54,69,red,medium,20.0,66.8,6.7,104.6,rabi,medium,6.1,Marathwada,maize
131,69,101,red,medium,26.4,66.9,6.8,91.8,rabi,medium,6.8,Vidarbha,orange
129,52,87,red,high,26.6,64.7,6.8,26.7,zaid,medium,6.2,Khandesh,watermelon
69,40,44,red,medium,33.6,34.5,6.6,43.4,rabi,medium,5.8,Marathwada,jowar
66,20,34,laterite,low,35.0,39.8,6.9,65.0,kharif,low,6.8,Marathwada,bajra
74,48,47,black,medium,25.0,50.6,6.6,58.7,rabi,medium,6.6,Western Maharashtra,wheat
63,69,49,black,medium,24.4,74.0,6.7,70.9,kharif,medium,6.8,Vidarbha,soybean
141,63,126,black,medium,24.2,75.7,6.7,39.8,rabi,medium,6.7,Western Maharashtra,tomato
115,45,108,red,medium,18.8,54.1,6.1,131.3,rabi,medium,6.2,Vidarbha,orange
135,62,68,red,medium,17.6,47.3,6.7,115.8,rabi,medium,6.9,Marathwada,maize
155,88,95,black,high,28.3,76.0,6.8,169.2,kharif,high,6.7,Western Maharashtra,turmeric
106,48,112,alluvial,high,33.4,51.7,6.2,49.7,zaid,medium,7.9,Khandesh,watermelon
104,32,51,red,low,31.3,74.7,5.3,229.8,zaid,medium,6.3,Konkan,cashew
134,75,86,alluvial,high,29.8,79.7,6.8,256.9,kharif,medium,6.5,Marathwada,turmeric
133,78,121,red,medium,27.0,44.0,7.1,60.5,rabi,medium,6.8,Western Maharashtra,grapes
146,79,107,alluvial,high,24.7,83.2,7.4,218.8,kharif,medium,7.5,Western Maharashtra,turmeric
73,47,67,laterite,medium,28.5,76.6,5.5,249.2,zaid,medium,6.5,Konkan,cashew
44,28,15,black,low,28.3,34.5,6.7,28.2,kharif,low,7.3,Khandesh,bajra
121,74,134,alluvial,medium,18.4,60.6,6.6,64.5,rabi,medium,6.2,Western Maharashtra,potato
41,82,48,red,medium,26.4,63.3,6.3,81.7,kharif,medium,6.6,Khandesh,groundnut
90,64,86,laterite,medium,30.7,51.6,6.5,247.0,zaid,medium,6.4,Konkan,mango
132,80,172,red,medium,10.9,63.7,6.3,53.3,rabi,medium,6.8,Vidarbha,potato
126,77,103,alluvial,high,31.0,60.5,4.9,250.1,kharif,medium,7.0,Marathwada,turmeric
68,38,93,red,high,32.3,67.7,6.2,64.7,zaid,medium,8.1,Khandesh,watermelon
125,61,37,laterite,high,33.5,82.5,5.5,330.8,kharif,high,6.5,Western Maharashtra,rice
120,52,97,red,low,32.0,33.3,8.1,47.1,rabi,medium,7.5,Western Maharashtra,pomegranate
111,43,89,alluvial,high,23.7,72.3,6.2,238.1,kharif,high,6.2,Western Maharashtra,turmeric
107,56,48,black,medium,21.0,53.4,6.9,50.8,rabi,medium,7.3,Vidarbha,wheat
19,43,31,black,medium,33.1,38.5,7.2,64.3,kharif,low,7.0,Vidarbha,tur
100,23,33,red,medium,31.5,60.4,7.0,32.4,kharif,low,6.4,Western Maharashtra,jowar
48,66,35,black,medium,25.7,76.5,6.2,87.6,kharif,medium,7.6,Western Maharashtra,soybean
89,53,56,black,medium,16.4,68.6,6.7,145.2,rabi,medium,6.5,Vidarbha,maize
89,41,35,laterite,high,30.9,91.2,6.0,260.8,kharif,high,6.2,Konkan,rice
104,87,104,black,medium,32.1,59.1,6.9,106.1,rabi,medium,7.2,Western Maharashtra,onion
103,61,63,black,high,27.2,67.6,6.1,285.4,kharif,high,6.1,Vidarbha,rice
85,50,99,alluvial,medium,30.6,59.2,6.4,39.3,zaid,medium,7.6,Khandesh,watermelon
111,82,115,red,medium,22.2,50.9,7.7,95.7,zaid,medium,6.6,Marathwada,tomato
193,98,115,black,high,28.8,85.4,6.9,193.2,rabi,high,7.5,Marathwada,sugarcane
85,58,97,alluvial,medium,21.5,45.5,6.5,58.3,zaid,medium,7.2,Western Maharashtra,watermelon
164,69,128,black,medium,33.4,67.1,6.8,116.6,rabi,medium,7.0,Vidarbha,orange
107,40,29,black,medium,24.3,68.9,5.6,78.7,kharif,medium,7.2,Vidarbha,cotton
118,56,114,black,medium,22.4,69.8,7.5,77.6,rabi,medium,7.1,Vidarbha,orange
111,75,86,alluvial,medium,20.6,77.7,5.2,62.3,rabi,medium,6.8,Marathwada,maize
118,55,40,red,medium,25.1,53.7,5.0,96.0,rabi,medium,6.9,Western Maharashtra,maize
71,65,130,black,low,28.5,45.8,7.9,60.0,rabi,low,7.3,Marathwada,pomegranate
86,40,29,red,medium,27.9,49.8,8.3,111.5,kharif,medium,7.3,Vidarbha,cotton
110,49,107,alluvial,low,19.6,64.4,7.0,89.7,kharif,medium,6.5,Khandesh,onion
49,54,47,alluvial,medium,25.7,62.9,7.3,98.2,kharif,medium,6.8,Khandesh,groundnut
120,78,97,laterite,medium,24.3,62.9,7.3,62.1,rabi,medium,7.5,Western Maharashtra,grapes
148,73,190,alluvial,medium,19.5,67.9,6.3,75.6,rabi,medium,6.4,Vidarbha,potato
136,79,106,red,medium,32.4,71.6,6.5,155.9,rabi,medium,7.3,Vidarbha,orange
23,76,45,red,medium,34.9,57.0,7.2,91.1,kharif,medium,7.2,Western Maharashtra,groundnut
142,79,130,alluvial,medium,28.9,62.5,6.2,65.4,rabi,medium,6.7,Western Maharashtra,potato
90,51,62,laterite,high,32.5,91.5,6.6,410.0,kharif,high,6.5,Konkan,rice
79,39,43,red,low,21.7,25.2,7.2,55.0,kharif,low,7.9,Marathwada,jowar
103,34,60,alluvial,high,30.1,75.9,4.5,140.0,kharif,high,6.9,Western Maharashtra,rice
87,42,98,red,medium,34.6,64.7,7.6,39.4,zaid,medium,7.1,Khandesh,watermelon
74,33,51,laterite,high,31.2,85.0,5.2,321.5,kharif,high,6.8,Vidarbha,rice
122,78,146,alluvial,high,34.8,77.1,6.5,230.1,kharif,high,6.0,Western Maharashtra,turmeric
155,35,39,red,medium,31.8,51.5,7.4,90.9,kharif,medium,6.9,Khandesh,cotton
118,90,106,alluvial,medium,21.5,64.7,6.5,105.2,kharif,medium,7.1,Western Maharashtra,tomato
113,59,150,red,medium,28.9,70.8,7.3,72.1,rabi,medium,7.0,Vidarbha,orange
55,55,40,alluvial,medium,20.1,64.2,7.3,80.3,kharif,medium,7.5,Western Maharashtra,soybean
52,61,37,alluvial,medium,28.1,58.8,7.7,99.0,kharif,medium,7.0,Western Maharashtra,soybean
76,26,35,black,medium,29.5,45.1,6.8,98.2,rabi,low,6.0,Western Maharashtra,jowar
82,22,15,red,low,20.0,44.7,5.7,42.2,kharif,low,7.4,Marathwada,bajra
47,60,45,black,medium,24.5,62.6,5.6,55.9,kharif,medium,7.1,Marathwada,soybean
